ankleiden;0,016;0,205;0,405;0,086;0,305;0,551;0,561;0,305;0,305;0,159;
abwaschen;0,216;0,200;0,023;0,216;0,077;0,198;0,043;0,092;0,076;0,203;
toilette;0,000;0,016;0,036;0,016;0,016;0;0,061;0,079;0,000;0,034;
essen;0,884;0,914;0,900;0,800;0,914;0,914;0,900;0,900;0,914;0,900;
schlafenabends;entfällt
duschen;0,060;0,024;0,068;0,018;0,020;0;0,130;0,154;0,054;0;
hinsetzen;entfällt
arbeiten;0,906;0,930;0,922;0,837;0,930;0,930;0,920;0,919;0,930;0,919;
schlafenmorgends;entfällt
kaffekochen;0,480;0,630;0,488;0,430;0,556;0,632;0,474;0,585;0,556;0,579;
fernsehen;0,013;0,012;0,012;0,012;0,012;0,013;0,012;0,012;0,012;0,013;
touchtisch;0,466;0,611;0,527;0,335;0,594;0,615;0,510;0,509;0,594;0,558;
Cluster Anzahl;10;9;7;7;9;8;9;8;9;10;
