ankleiden;0,110;0,110;0,205;0,110;0,016;0,110;0,110;0,110;0,205;0,205;
abwaschen;0,052;0,190;0,098;0,077;0,024;0,034;0,023;0,085;0,023;0,023;
toilette;0,000;0,000;0,000;0;0;0,000;0;0;0;0;
essen;0,857;0,900;0,863;0,840;0,895;0,875;0,900;0,900;0,900;0,900;
schlafenabends;entfällt
duschen;0,040;0,018;0,018;0,018;0,067;0,046;0,018;0,063;0,129;0,129;
hinsetzen;entfällt
arbeiten;0,889;0,919;0,888;0,870;0,914;0,897;0,919;0,919;0,919;0,919;
schlafenmorgends;entfällt
kaffekochen;0,272;0,565;0,378;0,196;0,487;0,342;0,492;0,562;0,492;0,492;
fernsehen;0,012;0,012;0,012;0,012;0,012;0,012;0,012;0,012;0,012;0,013;
touchtisch;0,322;0,553;0,356;0,253;0,515;0,368;0,505;0,507;0,506;0,506;
Cluster Anzahl;9;9;9;10;7;10;9;9;8;8;
