ankleiden;0;0;0;0;0;0;0;0;0;0;
abwaschen;0,500;0,500;0,500;0,500;0,500;0,400;0,500;0,700;0,700;0,500;
toilette;0,375;0,250;0;0;0,250;0,500;0,500;0;0,250;0;
essen;0,250;0,250;0,250;0,250;0,500;0,250;0,375;0,375;0,625;0,375;
schlafenabends;0,457;0,486;0,171;0,571;0,429;0,143;0,257;0,457;0,571;0,629;
duschen;0,250;0,500;0,250;0,375;0,250;0,500;0,500;0;0,250;0,250;
hinsetzen;0;0;0,550;0;0;0;0,500;0;0;0;
arbeiten;0,545;0,545;0,545;0,545;0,636;0,636;0,545;0,545;0,455;0,636;
schlafenmorgends;0,789;0,811;0,579;0,800;0,789;0,558;0,632;0,737;0,842;0,800;
kaffekochen;0,500;0,500;0,500;0,500;0,600;0,600;0,500;0,500;0,400;0,600;
fernsehen;0,167;0,333;0,500;0,333;0,167;0,500;0,167;0,500;0,333;0,333;
touchtisch;entfällt
Cluster Anzahl;32;33;32;37;36;34;35;29;33;30;
