ankleiden;0,420;0,574;0,615;0,292;0,615;0,661;0,669;0,615;0,560;0,422;
abwaschen;0,729;0,682;0,652;0,654;0,686;0,667;0,727;0,673;0,697;0,640;
toilette;0,537;0,375;0,508;0,508;0,508;0,564;0,552;0,500;0,544;0,539;
essen;0,907;0,914;0,922;0,821;0,923;0,898;0,923;0,910;0,903;0,895;
schlafenabends;0,571;0,486;0,457;0,571;0,571;0,543;0,571;0,514;0,600;0,571;
duschen;0,513;0,500;0,400;0,400;0,400;0,611;0,600;0,500;0,539;0,435;
hinsetzen;0;0,500;0;0;0;0,500;0,500;0,450;0;0;
arbeiten;0,926;0,931;0,938;0,856;0,938;0,919;0,938;0,928;0,922;0,916;
schlafenmorgends;0,821;0,800;0,789;0,842;0,842;0,789;0,842;0,821;0,842;0,842;
kaffekochen;0,815;0,809;0,769;0,680;0,821;0,724;0,832;0,797;0,805;0,783;
fernsehen;0,605;0,605;0,605;0,605;0,600;0,605;0,600;0,600;0,600;0,605;
touchtisch;0,527;0,563;0,575;0,335;0,615;0,446;0,615;0,509;0,501;0,462;
Cluster Anzahl;59;44;54;63;63;46;54;49;58;50;
