1367233717389;1.0;1.0
1367233727389;1.0;10.0
1367233817389;5.0;7.0
1367233777389;5.0;13.0
1367233807389;11.0;7.0
1367233757389;1.0;10.0
1367233737389;3.0;16.0
1367233827389;5.0;1.0
1367233767389;2.0;13.0
1367233747389;1.0;8.0
1367233847389;1.0;10.0
1367233857389;5.0;13.0
1367233867389;5.0;7.0
1367233887389;11.0;1.0
1367233787389;5.0;1.0
1367233797389;11.0;1.0
1367233877389;11.0;7.0
1367233897389;1.0;1.0
1367233837389;1.0;1.0
1367233808389;9.6;7.0
1367233848389;2.12;10.84
1367233838389;1.0;2.4
1367233888389;9.6;1.0
1367233728389;1.44;11.33
1367233849389;3.24;11.68
1367233818389;5.0;5.6
1367233889389;8.2;1.0
1367233839389;1.0;3.8
1367233850389;4.36;12.52
1367233718389;1.0;2.4
1367233840389;1.0;5.2
1367233858389;5.0;11.6
1367233890389;6.8;1.0
1367233819389;5.0;4.2
1367233898389;1.0;2.4
1367233809389;8.2;7.0
1367233850960;5.0;13.0
1367233899389;1.0;3.8
1367233810389;6.8;7.0
1367233900389;1.0;5.2
1367233719389;1.0;3.8
1367233878389;11.0;5.6
1367233788389;6.4;1.0
1367233891389;5.4;1.0
1367233798389;11.0;2.4
1367233868389;6.4;7.0
1367233841389;1.0;6.6
1367233820389;5.0;2.8
1367233729389;1.89;12.66
1367233842389;1.0;8.0
1367233799389;11.0;3.8
1367233869389;7.8;7.0
1367233821389;5.0;1.4
1367233789389;7.8;1.0
1367233730389;2.33;13.98
1367233821674;5.0;1.0
1367233870389;9.2;7.0
1367233843389;1.0;9.4
1367233790389;9.2;1.0
1367233871389;10.6;7.0
1367233843817;1.0;10.0
1367233731389;2.77;15.31
1367233791389;10.6;1.0
1367233871674;11.0;7.0
1367233731906;3.0;16.0
1367233791674;11.0;1.0
1367233748389;1.0;9.4
1367233738389;2.66;14.64
1367233778389;5.0;11.6
1367233768389;3.4;13.0
1367233811389;5.4;7.0
1367233879389;11.0;4.2
1367233892389;4.0;1.0
1367233828389;3.6;1.0
1367233800389;11.0;5.2
1367233779389;5.0;10.2
1367233859389;5.0;10.2
1367233801389;11.0;6.6
1367233780389;5.0;8.8
1367233720389;1.0;5.2
1367233748817;1.0;10.0
1367233781389;5.0;7.4
1367233860389;5.0;8.8
1367233801674;11.0;7.0
1367233782389;5.0;6.0
1367233721389;1.0;6.6
1367233861389;5.0;7.4
1367233783389;5.0;4.6
1367233722389;1.0;8.0
1367233769389;4.8;13.0
1367233739389;2.32;13.28
1367233829389;2.2;1.0
1367233880389;11.0;2.8
1367233758389;1.44;11.33
1367233811674;5.0;7.0
1367233901389;1.0;6.6
1367233893389;2.6;1.0
1367233784389;5.0;3.2
1367233723389;1.0;9.4
1367233861674;5.0;7.0
1367233785389;5.0;1.8
1367233723817;1.0;10.0
1367233759389;1.89;12.66
1367233830246;1.0;1.0
1367233881389;11.0;1.4
1367233902389;1.0;8.0
1367233759647;2.0;13.0
1367233903389;1.0;9.4
1367233881674;11.0;1.0
1367233740389;1.98;11.93
1367233894389;1.2;1.0
1367233903817;1.0;10.0
1367233894531;1.0;1.0
1367233741389;1.64;10.57
1367233785960;5.0;1.0
1367233769531;5.0;13.0
1367233742389;1.3;9.21
1367233743279;1.0;8.0
