ankleiden;0,269;0,154;0,295;0,231;0,295;0,202;0,154;0,154;0;0;
abwaschen;0,409;0,409;0,409;0,409;0,409;0,510;0,409;0,327;0,409;0,477;
toilette;0,375;0,375;0,375;0,375;0,375;0,375;0,375;0,552;0,375;0,500;
essen;0,601;0,380;0,554;0,619;0,552;0,361;0,388;0,473;0,603;0,612;
schlafenabends;0,229;0,171;0,171;0,543;0,229;0,314;0,286;0;0,229;0,229;
duschen;0,300;0,502;0,205;0,205;0,205;0,205;0,205;0,205;0,205;0,205;
hinsetzen;0;0;0;0;0;0;0;0;0;0;
arbeiten;0,670;0,596;0,641;0,660;0,609;0,580;0,615;0,632;0,714;0,728;
schlafenmorgends;0,632;0,526;0,263;0,737;0,263;0,684;0,421;0,568;0,632;0,263;
kaffekochen;0,507;0,435;0,508;0,348;0,435;0,494;0,434;0,435;0,475;0,494;
fernsehen;0,400;0,515;0,400;0,400;0,400;0,505;0,500;0,400;0,400;0,500;
touchtisch;0,046;0,059;0,059;0,098;0,059;0,087;0,047;0,047;0,091;0,045;
Cluster Anzahl;145;137;169;179;204;153;274;165;182;167;
